model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-1.7B,mrpc,4,42,0.6640625,0.59375,-0.0703125,23.944867676000285,31.577871598001366,7.63300392200108
Qwen/Qwen3-1.7B,mrpc,8,13,0.68359375,0.59375,-0.08984375,24.031371269000374,31.647686655000143,7.616315385999769
Qwen/Qwen3-1.7B,mrpc,8,21,0.67578125,0.58203125,-0.09375,24.067680484000448,31.990296269999817,7.922615785999369
Qwen/Qwen3-1.7B,mrpc,8,42,0.6953125,0.59765625,-0.09765625,23.967609139999695,31.90617312899849,7.938563988998794
Qwen/Qwen3-1.7B,mrpc,16,13,0.61328125,0.578125,-0.03515625,14.606985227001132,32.68737618599698,18.08039095899585
Qwen/Qwen3-1.7B,mrpc,16,21,0.62890625,0.59375,-0.03515625,17.519586004000303,32.42673248400024,14.907146479999938
Qwen/Qwen3-1.7B,mrpc,16,42,0.66015625,0.58984375,-0.0703125,20.30974002700168,32.47251204100394,12.162772014002257
Qwen/Qwen3-1.7B,mrpc,32,13,0.61328125,0.56640625,-0.046875,16.100617832998978,34.40479636500095,18.30417853200197
Qwen/Qwen3-1.7B,mrpc,32,21,0.66015625,0.5546875,-0.10546875,16.679034401000536,33.994047724001575,17.31501332300104
Qwen/Qwen3-1.7B,mrpc,32,42,0.609375,0.578125,-0.03125,16.272497943999042,33.84842984000716,17.575931896008115
Qwen/Qwen3-1.7B,rte,1,13,0.78125,0.8203125,0.0390625,24.04512354399776,31.02728317900619,6.982159635008429
Qwen/Qwen3-1.7B,rte,1,21,0.8046875,0.8125,0.0078125,24.76404093799647,31.491631898999913,6.727590961003443
Qwen/Qwen3-1.7B,rte,1,42,0.828125,0.8125,-0.015625,24.571906486002263,31.295897136005806,6.723990650003543
Qwen/Qwen3-1.7B,rte,2,13,0.79296875,0.81640625,0.0234375,23.714113254995027,32.894505659998686,9.180392405003658
Qwen/Qwen3-1.7B,rte,2,21,0.76953125,0.80859375,0.0390625,24.178650957001082,32.05937089199142,7.8807199349903385
Qwen/Qwen3-1.7B,rte,2,42,0.8125,0.81640625,0.00390625,24.26649207399896,31.77778706800018,7.511294994001219
Qwen/Qwen3-1.7B,rte,4,13,0.76171875,0.81640625,0.0546875,22.751451308999094,32.01397152800928,9.262520219010185
Qwen/Qwen3-1.7B,rte,4,21,0.6796875,0.8125,0.1328125,17.86392926499684,31.513381023003603,13.649451758006762
Qwen/Qwen3-1.7B,rte,4,42,0.71875,0.80859375,0.08984375,23.632540516999143,31.698422561006737,8.065882044007594
