method,model_id,task,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean,runtime_sec_mean,runtime_sec_sum
ICL,Qwen/Qwen3-4B,rte,4,5,0.83046875,0.015527036651837337,0.80859375,0.8515625,1.0,1.0,31.5533497140088,157.766748570044
ICL,Qwen/Qwen3-4B,rte,8,5,0.83046875,0.01738171520413046,0.8046875,0.84375,1.0,1.0,32.94328013679042,164.7164006839521
LoRA,Qwen/Qwen3-4B,rte,1,5,0.8046875,0.005524271728019903,0.796875,0.80859375,1.0,1.0,50.67748858540144,253.3874429270072
LoRA,Qwen/Qwen3-4B,rte,16,5,0.81171875,0.0032682032286487327,0.80859375,0.81640625,1.0,1.0,52.50189113880769,262.5094556940385
LoRA,Qwen/Qwen3-4B,rte,2,5,0.80546875,0.0032682032286487327,0.80078125,0.80859375,1.0,1.0,50.627721815809494,253.13860907904746
LoRA,Qwen/Qwen3-4B,rte,32,5,0.82421875,0.006176323555016366,0.81640625,0.83203125,1.0,1.0,54.59528488980577,272.97642444902885
LoRA,Qwen/Qwen3-4B,rte,4,5,0.80546875,0.005093126879064569,0.796875,0.80859375,1.0,1.0,50.912039819796334,254.56019909898168
LoRA,Qwen/Qwen3-4B,rte,8,5,0.81171875,0.0032682032286487327,0.80859375,0.81640625,1.0,1.0,51.60461841960787,258.02309209803934
ICL,Qwen/Qwen3-4B,sst2,0,5,0.92265625,0.010481568644530264,0.90625,0.9296875,0.99609375,0.996875,35.249961945204994,176.24980972602498
ICL,Qwen/Qwen3-4B,sst2,1,5,0.9265625,0.01547782246574918,0.90625,0.94140625,0.99609375,0.99765625,31.64416187400202,158.2208093700101
ICL,Qwen/Qwen3-4B,sst2,16,5,0.92734375,0.012536567606157198,0.91015625,0.9453125,1.0,1.0,31.808727613193334,159.04363806596666
ICL,Qwen/Qwen3-4B,sst2,2,5,0.92734375,0.014771617500928935,0.9140625,0.9453125,0.99609375,0.9984375,31.510303474201645,157.55151737100823
ICL,Qwen/Qwen3-4B,sst2,32,5,0.93125,0.016010860571811874,0.91015625,0.94921875,1.0,1.0,32.38450190060102,161.92250950300513
ICL,Qwen/Qwen3-4B,sst2,4,5,0.925,0.015722352966795396,0.91015625,0.94140625,0.99609375,0.99921875,31.607438837201336,158.03719418600667
ICL,Qwen/Qwen3-4B,sst2,8,5,0.9265625,0.010481568644530264,0.91015625,0.9375,1.0,1.0,31.6931419163986,158.465709581993
LoRA,Qwen/Qwen3-4B,sst2,1,5,0.9203125,0.01424576760063318,0.90234375,0.9375,0.99609375,0.99609375,47.378149113401015,236.89074556700507
LoRA,Qwen/Qwen3-4B,sst2,16,5,0.9265625,0.01689199086753098,0.90234375,0.9453125,0.99609375,0.99765625,50.334700822392186,251.67350411196094
LoRA,Qwen/Qwen3-4B,sst2,2,5,0.9203125,0.015770804092333085,0.8984375,0.9375,0.99609375,0.99609375,47.36314599759935,236.81572998799675
LoRA,Qwen/Qwen3-4B,sst2,32,5,0.92578125,0.01680141653719263,0.90234375,0.9453125,0.99609375,0.99765625,53.96473639120086,269.8236819560043
LoRA,Qwen/Qwen3-4B,sst2,4,5,0.9203125,0.017815241017174032,0.89453125,0.9375,0.99609375,0.996875,47.916610271194074,239.58305135597038
LoRA,Qwen/Qwen3-4B,sst2,8,5,0.921875,0.013810679320049757,0.90234375,0.9375,0.99609375,0.99609375,48.53886066539708,242.6943033269854
ICL,Qwen/Qwen3-4B,trec,0,5,0.4859375,0.02555535505280645,0.44921875,0.50390625,1.0,1.0,44.33814289020229,221.69071445101144
ICL,Qwen/Qwen3-4B,trec,1,5,0.596875,0.023339639447327587,0.5703125,0.625,1.0,1.0,38.3141482165971,191.57074108298548
ICL,Qwen/Qwen3-4B,trec,16,5,0.71953125,0.027676546224872423,0.6875,0.75390625,1.0,1.0,36.38827775980026,181.9413887990013
ICL,Qwen/Qwen3-4B,trec,2,5,0.6015625,0.03653962291771427,0.5625,0.65234375,1.0,1.0,36.90267400199809,184.51337000999047
ICL,Qwen/Qwen3-4B,trec,32,5,0.75,0.031127690333025836,0.7109375,0.796875,1.0,1.0,36.78145962280105,183.90729811400524
ICL,Qwen/Qwen3-4B,trec,4,5,0.65390625,0.024174606948071567,0.6171875,0.6796875,1.0,1.0,36.60399896039744,183.0199948019872
ICL,Qwen/Qwen3-4B,trec,8,5,0.696875,0.040838531370891024,0.63671875,0.7265625,1.0,1.0,36.598704095605356,182.99352047802677
LoRA,Qwen/Qwen3-4B,trec,1,5,0.48984375,0.020032627195247007,0.46484375,0.5078125,1.0,1.0,57.803059289610246,289.01529644805123
LoRA,Qwen/Qwen3-4B,trec,16,5,0.5046875,0.02092671130621699,0.48046875,0.52734375,1.0,1.0,59.76074548459583,298.80372742297914
LoRA,Qwen/Qwen3-4B,trec,2,5,0.48828125,0.018528970665049098,0.46484375,0.5078125,1.0,1.0,57.57637476700766,287.8818738350383
LoRA,Qwen/Qwen3-4B,trec,32,5,0.5375,0.03275199033789779,0.5078125,0.58203125,1.0,1.0,61.23002518619178,306.1501259309589
LoRA,Qwen/Qwen3-4B,trec,4,5,0.4921875,0.029100907081545585,0.453125,0.515625,1.0,1.0,58.237298716997614,291.18649358498806
LoRA,Qwen/Qwen3-4B,trec,8,5,0.48828125,0.029231698334171417,0.453125,0.515625,1.0,1.0,59.00769997238967,295.03849986194837
