model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec,lora_train_runtime_sec,lora_inference_runtime_sec,lora_model_load_sec
Qwen/Qwen3-0.6B,trec,16,42,0.53125,0.20703125,-0.32421875,26.810120606001874,37.90455910899982,11.094438502997946,1.430042351999873,36.077940872997715,0.39657588400223176
Qwen/Qwen3-0.6B,trec,16,55,0.53515625,0.1875,-0.34765625,30.015834846999496,41.333843936998164,11.318009089998668,1.497845670004608,39.31529745599255,0.5207008110010065
Qwen/Qwen3-0.6B,trec,32,7,0.5546875,0.28125,-0.2734375,28.147119639004814,41.87089131399989,13.723771674995078,2.9982455619901884,38.358627970010275,0.5140177819994278
Qwen/Qwen3-0.6B,trec,32,13,0.54296875,0.3046875,-0.23828125,25.39774764899994,38.57280238699968,13.175054737999744,2.755880934000743,35.4281597199988,0.3887617330001376
Qwen/Qwen3-0.6B,trec,32,21,0.640625,0.28125,-0.359375,27.277696967001248,39.24500801000613,11.967311043004884,2.8376298140028666,35.986252421000245,0.42112577500301995
Qwen/Qwen3-0.6B,trec,32,42,0.65625,0.265625,-0.390625,26.528524491997814,37.933978999997635,11.40545450799982,2.800160096001491,34.74768778499856,0.38613111899758223
Qwen/Qwen3-0.6B,trec,32,55,0.61328125,0.26171875,-0.3515625,29.591691870999057,41.28066371002933,11.688971839030273,3.0748359480057843,37.698937859007856,0.5068899030156899
Qwen/Qwen3-1.7B,sst2,1,7,0.8671875,0.80078125,-0.06640625,25.724575606989674,33.624251198983984,7.89967559199431,0.11912163399392739,32.606796496984316,0.8983330680057406
Qwen/Qwen3-1.7B,sst2,1,13,0.8984375,0.7890625,-0.109375,23.923001162998844,30.69708053100112,6.774079368002276,0.11597856899970793,29.846814101001655,0.734287860999757
Qwen/Qwen3-1.7B,sst2,1,21,0.89453125,0.7734375,-0.12109375,24.342275176997646,30.95844889899672,6.6161737219990755,0.11955924999710987,30.140010175997304,0.6988794730023073
Qwen/Qwen3-1.7B,sst2,1,42,0.8828125,0.78515625,-0.09765625,24.239091158997326,31.431619767001393,7.192528608004068,0.1140424829973199,30.619803788002173,0.6977734960019006
Qwen/Qwen3-1.7B,sst2,1,55,0.87890625,0.8046875,-0.07421875,25.769631503993878,33.40785780301667,7.63822629902279,0.12492589300381951,32.458750629011774,0.8241812810010742
Qwen/Qwen3-1.7B,sst2,2,7,0.8984375,0.80859375,-0.08984375,25.682861553010298,33.488041612989036,7.805180059978738,0.21515627499320544,32.46250757199596,0.8103777659998741
Qwen/Qwen3-1.7B,sst2,2,13,0.90234375,0.7890625,-0.11328125,24.077271955997276,31.117454095998255,7.040182140000979,0.19874166699810303,30.258203014000173,0.6605094149999786
Qwen/Qwen3-1.7B,sst2,2,21,0.90234375,0.7734375,-0.12890625,23.995779742996092,30.90751080899645,6.911731066000357,0.18555531399761094,30.053325714001403,0.6686297809974349
Qwen/Qwen3-1.7B,sst2,2,42,0.90234375,0.7890625,-0.11328125,24.335421029005374,31.178774621999764,6.84335359299439,0.21099142399907578,30.330184888000076,0.6375983100006124
Qwen/Qwen3-1.7B,sst2,2,55,0.9140625,0.796875,-0.1171875,25.72287739199237,33.59679178101942,7.87391438902705,0.21679537801537663,32.653082820004784,0.7269135829992592
Qwen/Qwen3-1.7B,sst2,4,7,0.91015625,0.8046875,-0.10546875,25.889414019999094,33.79333633798524,7.903922317986144,0.4101362410001457,32.611906558973715,0.7712935380113777
Qwen/Qwen3-1.7B,sst2,4,13,0.90625,0.78515625,-0.12109375,24.350416995999694,31.165384365995124,6.814967369995429,0.3792523629999778,30.125249547996646,0.6608824549985002
Qwen/Qwen3-1.7B,sst2,4,21,0.87890625,0.7734375,-0.10546875,24.407523485999263,30.861578131003625,6.454054645004362,0.3709152699993865,29.840131151002424,0.6505317100018146
Qwen/Qwen3-1.7B,sst2,4,42,0.89453125,0.78125,-0.11328125,24.121520145999966,31.383678093996423,7.262157947996457,0.36658063599679735,30.38318115400034,0.6339163039992854
Qwen/Qwen3-1.7B,sst2,4,55,0.91015625,0.796875,-0.11328125,25.872961629997008,34.50730530900182,8.634343679004814,0.40462162101175636,33.32054365199292,0.7821400359971449
Qwen/Qwen3-1.7B,sst2,8,7,0.92578125,0.8046875,-0.12109375,25.84462123599951,34.972593781974865,9.127972545975354,0.7997592329920735,33.36258057298255,0.8102539760002401
Qwen/Qwen3-1.7B,sst2,8,13,0.90234375,0.7890625,-0.11328125,24.251263357000425,31.7405524709975,7.489289113997074,0.7203334319965506,30.393350845002715,0.6268681939982343
Qwen/Qwen3-1.7B,sst2,8,21,0.90234375,0.7734375,-0.12890625,23.96950993599603,32.081717299002776,8.112207363006746,1.0910193429990613,30.319887560002826,0.6708103960008884
