model_id,task,method,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean
Qwen/Qwen3-4B,trec,ICL,1,3,0.58984375,0.024394523431243743,0.5703125,0.6171875,1.0,1.0
Qwen/Qwen3-4B,trec,ICL,16,3,0.7122395833333334,0.036295207981162377,0.6875,0.75390625,1.0,1.0
Qwen/Qwen3-4B,trec,ICL,2,3,0.5950520833333334,0.04976956993129269,0.5625,0.65234375,1.0,1.0
Qwen/Qwen3-4B,trec,ICL,32,3,0.73828125,0.02376079113397742,0.7109375,0.75390625,1.0,1.0
Qwen/Qwen3-4B,trec,ICL,4,3,0.6692708333333334,0.009830513587592123,0.66015625,0.6796875,1.0,1.0
Qwen/Qwen3-4B,trec,ICL,8,3,0.6966145833333334,0.051871313247505435,0.63671875,0.7265625,1.0,1.0
Qwen/Qwen3-4B,trec,LoRA,1,3,0.4817708333333333,0.022888536238602795,0.46484375,0.5078125,1.0,1.0
Qwen/Qwen3-4B,trec,LoRA,16,3,0.4973958333333333,0.026009094212810127,0.48046875,0.52734375,1.0,1.0
Qwen/Qwen3-4B,trec,LoRA,2,3,0.4817708333333333,0.022888536238602795,0.46484375,0.5078125,1.0,1.0
Qwen/Qwen3-4B,trec,LoRA,32,3,0.5286458333333334,0.029577647634376425,0.5078125,0.5625,1.0,1.0
Qwen/Qwen3-4B,trec,LoRA,4,3,0.4791666666666667,0.03252603124165833,0.453125,0.515625,1.0,1.0
Qwen/Qwen3-4B,trec,LoRA,8,3,0.4765625,0.034053897996411515,0.453125,0.515625,1.0,1.0
